news_headline,news_article,news_category
"Manjrekar's chat with Twitter user goes viral, says 'Jadeja doesn't know English'","A Twitter user shared screenshots of his personal chat with commentator Sanjay Manjrekar, wherein the duo can be seen debating about Manjrekar's opinion about Ravindra Jadeja and Ravichandran Ashwin. Referring to controversy over him calling Jadeja a 'bits and pieces' player, Manjrekar, in the chat said, ""Jadeja doesn't know English...so he didn't know the actual meaning of bits and pieces.""",sports
Anderson deletes his 11-year-old tweet calling Broad lesbian over haircut,"In the wake of ECB's crackdown over social media use, James Anderson deleted his 11-year-old tweet containing a homophobic reference. In the tweet from February 2010, Anderson stated that Stuart Broad looked like a 15-year-old lesbian with his new haircut. ""For me...it's 10-11 years ago, I've certainly changed as a person,"" Anderson said on being asked to explain the tweet. ",sports
"Sometimes, we didn't want to see each other: Prasad on arguments with Kohli, Shastri","Ex-BCCI chief selector MSK Prasad has revealed the selection committee used to have several arguments with Virat Kohli and Ravi Shastri. He added, ""Sometimes, we didn’t want to see each other after meetings, but the beauty of them is that the next morning when we'd meet they'd recognise and acknowledge that there is (merit in the) point we made.""",sports
"Buttler and Morgan's tweets allegedly mocking Indians resurface, investigation on","The ECB have begun their investigation after tweets posted by Jos Buttler and Eoin Morgan allegedly mocking Indian people resurfaced. Screenshots widely shared include messages like ""I always reply sir no1 else like me like you like me"" from Buttler and ""Sir, you play very good opening batting"" from Morgan. This comes after England suspended Ollie Robinson over racist tweets.",sports
Eng-Pak series not to be broadcast in Pak as Indian company holds rights: Minister,"Pakistan's Minister of Information and Broadcasting Fawad Chaudhry has said the upcoming limited-over series between England and Pakistan won't be broadcast in Pakistan as an Indian company is holding broadcasting rights in South Asia. ""We cannot conduct business with Indian companies,"" he stated. Pakistan Cricket Board (PCB) and PTV will face considerable losses as a result of this, he added.",sports
"Wrestler Sushil asks for protein supplements, exercise bands in jail","Olympic medal-winning wrestler Sushil Kumar, arrested for the murder of a fellow wrestler, has filed a plea in a Delhi court, seeking high-protein food, dietary supplements and exercise bands in jail. The plea has sought supplements like isolate whey protein, omega 3 capsules, multivitamins etc, saying that denial of these basic requirements will have a huge implication on Sushil's career.",sports
US eases COVID-19 travel warning to Japan ahead of Olympics,"The United States on Tuesday eased its restrictions against travel to Japan ahead of the Tokyo Olympics. Last month, the US had urged people against travelling to Japan due to a new COVID-19 wave. The Olympic games, which were postponed last year due to the coronavirus pandemic, are scheduled to be held in Tokyo from July 23 to August 8. ",sports
We will never sell forward Kylian Mbappe: PSG President ,"Paris Saint-Germain (PSG) football club President Nasser Al-Khelaifi said that the club will ""never sell"" their forward Kylian Mbappe amid the speculations about Frenchman's future. ""Mbappe is going to stay in Paris...he will never leave on a free transfer. He has everything he needs in Paris,"" he added. The 22-year-old has a contract at the French club until June 2022.",sports
India's campaign ends with Bopanna-Skugor loss in French Open quarters,"Indian tennis player Rohan Bopanna and his Croatian partner Franko Skugor lost 5-7, 3-6 to the Spanish pair of Pablo Andujar and Pedro Martinez in the men's doubles quarter-finals at the French Open on Monday. The unseeded Indo-Croatian pair had received a walkover in the third round on Sunday against Netherlands' Matwe Middelkoop and Marcelo Arevalo of El Salvador.",sports
Ben Stokes likely to return to T20 Blast after 3 years ,"After missing the previous three seasons of the T20 Blast, England all-rounder Ben Stokes will reportedly play his first game in the tournament for Durham next week. Stokes will be making his comeback from the finger fracture he suffered in the IPL. ""Durham have four fixtures...from June 15-20 and he's likely to return in one of them,"" ESPNcricinfo said. ",sports
